"","x"
"1",0.075
"2",0.25
"3",0.15
"4",0.2
"5",0.125
"6",0.15
"7",0.15
"8",0.125
"9",0.15
"10",0.125
"11",0.075
"12",0.125
"13",0.1
"14",0.1
"15",0.1
"16",0.1
"17",0.25
"18",0.125
"19",0.2
"20",0.1
"21",0.125
"22",0.225
"23",0.175
"24",0.075
"25",0.15
"26",0.15
"27",0.25
"28",0.1
"29",0.075
"30",0.15
"31",0.15
"32",0.15
"33",0.175
"34",0.15
"35",0.15
"36",0.05
"37",0.125
"38",0.225
"39",0.15
"40",0.125
"41",0.15
"42",0.1
"43",0.1
"44",0.1
"45",0.175
"46",0.175
"47",0.175
"48",0.175
"49",0.225
"50",0.2
"51",0.2
"52",0.075
"53",0.15
"54",0.175
"55",0.175
"56",0.175
"57",0.175
"58",0.175
"59",0.075
"60",0.175
"61",0.15
"62",0.15
"63",0.175
"64",0.2
"65",0.175
"66",0.2
"67",0.175
"68",0.125
"69",0.15
"70",0.1
"71",0.15
"72",0.175
"73",0.2
"74",0.225
"75",0.175
"76",0.15
"77",0.1
"78",0.175
"79",0.125
"80",0.125
"81",0.1
"82",0.2
"83",0.175
"84",0.15
"85",0.225
"86",0.225
"87",0.175
"88",0.125
"89",0.175
"90",0.075
"91",0.15
"92",0.175
"93",0.125
"94",0.275
"95",0.225
"96",0.1
"97",0.2
"98",0.175
"99",0.175
"100",0.1
"101",0.175
"102",0.15
"103",0.2
"104",0.125
"105",0.1
"106",0.175
"107",0.25
"108",0.15
"109",0.175
"110",0.175
"111",0.075
"112",0.1
"113",0.2
"114",0.125
"115",0.15
"116",0.1
"117",0.125
"118",0.05
"119",0.175
"120",0.075
"121",0.175
"122",0.175
"123",0.1
"124",0.2
"125",0.225
"126",0.2
"127",0.075
"128",0.15
"129",0.15
"130",0.15
"131",0.2
"132",0.225
"133",0.1
"134",0.175
"135",0.3
"136",0.025
"137",0.15
"138",0.175
"139",0.125
"140",0.15
"141",0.175
"142",0.15
"143",0.15
"144",0.1
"145",0.15
"146",0.2
"147",0.15
"148",0.1
"149",0.15
"150",0.2
"151",0.175
"152",0.025
"153",0.1
"154",0.15
"155",0.275
"156",0.125
"157",0.15
"158",0.1
"159",0.175
"160",0.15
"161",0.1
"162",0.175
"163",0.175
"164",0.15
"165",0.25
"166",0.1
"167",0.05
"168",0.1
"169",0.125
"170",0.125
"171",0.25
"172",0.225
"173",0.15
"174",0.225
"175",0.1
"176",0.1
"177",0.125
"178",0.25
"179",0.175
"180",0.2
"181",0.3
"182",0.2
"183",0.175
"184",0.175
"185",0.1
"186",0.15
"187",0.275
"188",0.1
"189",0.1
"190",0.2
"191",0.2
"192",0.175
"193",0.2
"194",0.125
"195",0.15
"196",0.1
"197",0.15
"198",0.175
"199",0.1
"200",0.075
"201",0.175
"202",0.225
"203",0.15
"204",0.15
"205",0.1
"206",0.125
"207",0.225
"208",0.1
"209",0.125
"210",0.175
"211",0.175
"212",0.2
"213",0.25
"214",0.25
"215",0.225
"216",0.2
"217",0.2
"218",0.1
"219",0.175
"220",0.2
"221",0.1
"222",0.2
"223",0.125
"224",0.175
"225",0.3
"226",0.125
"227",0.075
"228",0.15
"229",0.1
"230",0.175
"231",0.075
"232",0.1
"233",0.225
"234",0.125
"235",0.25
"236",0.125
"237",0.15
"238",0.125
"239",0.125
"240",0.1
"241",0.05
"242",0.225
"243",0.225
"244",0.175
"245",0.125
"246",0.175
"247",0.125
"248",0.15
"249",0.125
"250",0.075
"251",0.1
"252",0.175
"253",0.15
"254",0.075
"255",0.1
"256",0.2
"257",0.1
"258",0.075
"259",0.175
"260",0.1
"261",0.225
"262",0.15
"263",0.15
"264",0.1
