"","x"
"1",0.15
"2",0
"3",0.05
"4",0.15
"5",0.25
"6",0.15
"7",0.3
"8",0.3
"9",0.15
"10",0.25
"11",0.2
"12",0.2
"13",0.25
"14",0.15
"15",0.1
"16",0.2
"17",0.25
"18",0.15
"19",0.15
"20",0.1
"21",0.2
"22",0.15
"23",0.05
"24",0.15
"25",0.15
"26",0.05
"27",0.3
"28",0.1
"29",0.05
"30",0.25
"31",0.2
"32",0.15
"33",0.3
"34",0.15
"35",0.1
"36",0.2
"37",0.15
"38",0.1
"39",0.05
"40",0.1
"41",0.15
"42",0.1
"43",0.25
"44",0.15
"45",0.1
"46",0.05
"47",0.1
"48",0.15
"49",0.1
"50",0.15
"51",0.05
"52",0.15
"53",0.15
"54",0.1
"55",0.15
"56",0.1
"57",0.1
"58",0.2
"59",0.05
"60",0.15
"61",0.1
"62",0.15
"63",0
"64",0.3
"65",0.1
"66",0.15
"67",0.15
"68",0.25
"69",0.2
"70",0.05
"71",0.1
"72",0.2
"73",0.1
"74",0.05
"75",0.25
"76",0.15
"77",0.2
"78",0.2
"79",0.1
"80",0.1
"81",0.1
"82",0.2
"83",0.2
"84",0.3
"85",0.35
"86",0.2
"87",0
"88",0.15
"89",0.15
"90",0.15
"91",0.15
"92",0.1
"93",0.25
"94",0.2
"95",0.15
"96",0.05
"97",0.15
"98",0.05
"99",0.05
"100",0.15
"101",0.2
"102",0.2
"103",0.25
"104",0.15
"105",0.15
"106",0.3
"107",0.1
"108",0.1
"109",0.15
"110",0.15
"111",0.2
"112",0.35
"113",0.2
"114",0.15
"115",0.2
"116",0.15
"117",0.35
"118",0.35
"119",0.25
"120",0.1
"121",0.2
"122",0.2
"123",0.15
"124",0.15
"125",0.25
"126",0.15
"127",0.15
"128",0.3
"129",0.1
"130",0.05
"131",0.15
"132",0.15
"133",0.15
"134",0.1
"135",0.15
"136",0.1
"137",0.15
"138",0.1
"139",0.05
"140",0.15
"141",0.15
"142",0.1
"143",0.2
"144",0.15
"145",0.15
"146",0.15
"147",0.2
"148",0.15
"149",0.15
"150",0.15
"151",0.15
"152",0.05
"153",0.2
"154",0.05
"155",0.1
"156",0.2
"157",0.05
"158",0.2
"159",0.25
"160",0.15
"161",0.1
"162",0.15
"163",0.15
"164",0.25
"165",0.35
"166",0.05
"167",0.1
"168",0.2
"169",0.15
"170",0.05
"171",0.2
"172",0.15
"173",0.15
"174",0
"175",0.2
"176",0.15
"177",0.05
"178",0.05
"179",0.35
"180",0.2
"181",0.1
"182",0.15
"183",0
"184",0.1
"185",0.15
"186",0.15
"187",0.1
"188",0.15
"189",0.25
"190",0.2
"191",0.3
"192",0.2
"193",0.15
"194",0.3
"195",0.1
"196",0.3
"197",0.15
"198",0.05
"199",0.15
"200",0.1
"201",0.05
"202",0.1
"203",0.2
"204",0.15
"205",0.3
"206",0.15
"207",0.05
"208",0.2
"209",0.05
"210",0.15
"211",0
"212",0.1
"213",0.15
"214",0.15
"215",0.15
"216",0.1
"217",0.2
"218",0.1
"219",0.05
"220",0.1
"221",0.05
"222",0.3
"223",0.05
"224",0.15
"225",0.1
"226",0.35
"227",0.25
"228",0.2
"229",0.1
"230",0.15
"231",0.3
"232",0.15
"233",0.2
"234",0.05
"235",0.1
"236",0.25
"237",0.25
"238",0.1
"239",0.2
"240",0.05
"241",0.2
"242",0.05
"243",0.05
"244",0.1
"245",0.2
"246",0.05
"247",0.2
"248",0.1
"249",0.3
"250",0.1
"251",0.1
"252",0.25
"253",0
"254",0.1
"255",0.1
"256",0
"257",0.1
"258",0.3
"259",0.25
"260",0.15
"261",0.2
"262",0.25
"263",0.15
"264",0.05
"265",0.15
"266",0.15
"267",0.1
"268",0.1
"269",0.2
"270",0.2
"271",0.1
"272",0.15
"273",0.15
"274",0.1
"275",0.25
"276",0.1
"277",0.1
"278",0.3
"279",0.2
"280",0.3
"281",0.2
"282",0.25
"283",0.15
"284",0.2
"285",0.15
"286",0.25
"287",0.2
"288",0.1
"289",0.1
"290",0.1
"291",0.1
"292",0.15
"293",0.1
"294",0.15
"295",0.2
"296",0.25
"297",0.1
"298",0.35
"299",0.2
"300",0
"301",0.25
"302",0.2
"303",0.1
"304",0.1
"305",0.05
"306",0.2
"307",0.1
"308",0.3
"309",0.1
"310",0.2
"311",0.2
"312",0.05
"313",0.1
"314",0.05
